LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
70203N,598501C058034,"ANTENNA, BASE RADIO STATION/REPEATER","ANTENNA, BASE RADIO STATION/REPEATE: L1/",A/C REPEATER, 60265 ,YES,,E,,OUT,NO,,
,,,,,,,,,,,,,
70210N,702101C941440,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, PORTABLE DELL LATITUDE E5570",, 4CSMVD2 ,YES,D Room,E,,IN,NO,,
70210N,702101C941440,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, PORTABLE DELL LATITUDE E5570",, 54RMVD2 ,YES,E Room,E,,IN,NO,,
70210N,702101C941440,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","LAPTOP, PORTABLE DELL LATITUDE E5570",, 8YQMVD2 ,YES,E Room,E,Justin,IN,NO,2062,
70210N,702101C946392,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","COMPUTER, MICRO LAPTOP PORTABLE",5580 RED,2JMGPL2,YES,E Room,E,,OUT,NO,,
70210N,702101C946392,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W","COMPUTER, MICRO LAPTOP PORTABLE",5580 RED,JRMGPL2,YES,E Room,E,,OUT,NO,,
,,,,,,,,,,,,,
70223N,702501J001973,"MONITOR, COLOR IMPE",DELL MONITOR P2419H,,,YES,OPS,E,,IN,NO,,
70234N,702501N000293,"PRINTER, COLOR GRAPHICS","PRINTER, LEXMARK X792DTE",OLD PRINTER, 75623394G47ZD ,YES,Hall,E,,IN,NO,,
70234N,702501N000294,"PRINTER, COLOR GRAPHICS","PRINTER, COLOR GRAPHICS: LASERJET 4700N",RED PRINTER, JP8RD25041 ,YES,Ops,E,,IN,NO,,
70236N,702501Y023478,"PRINTER, DAISY WHEEL/DOT MATRIX/LASE","PRINTER, MULTIFUNCTION, CX825DTE, COLOR",NEW PRINTER, 75649250E1938 ,YES,HALL,E,,IN,NO,,
,,,,,,,,,,,,,
80506N,846501C123495,"BACK PACK W/WO FRAME, TY SZ AA","BACK PACK W/WO FRAME, TY SZ AA: NICE CRE",MULTI CAM RUCK,,YES,C Room,C,,IN,NO,,
80506N,846501C123495,"BACK PACK W/WO FRAME, TY SZ AA","BACK PACK W/WO FRAME, TY SZ AA: NICE CRE",MULTI CAM RUCK,,YES,C Room,C,,IN,NO,,
80506N,846501C123495,"BACK PACK W/WO FRAME, TY SZ AA","BACK PACK W/WO FRAME, TY SZ AA: NICE CRE",MULTI CAM RUCK,,YES,C Room,C,,IN,NO,,
